Event Name,SaleWeekDay,Relative show day,Sum Tickets sold,TicketSalesRevenue
ART SHOW YEAR 2,Tu,-50,12,340
ART SHOW YEAR 2,We,-49,9,99
ART SHOW YEAR 2,Th,-48,17,291
ART SHOW YEAR 2,Fr,-47,17,1650
ART SHOW YEAR 2,Sa,-46,12,341
ART SHOW YEAR 2,Su,-45,11,225
ART SHOW YEAR 2,Mo,-44,11,121
ART SHOW YEAR 2,Tu,-43,14,154
ART SHOW YEAR 2,We,-42,9,307
ART SHOW YEAR 2,Th,-41,11,329
ART SHOW YEAR 2,Fr,-40,34,478
ART SHOW YEAR 2,Sa,-39,6,66
ART SHOW YEAR 2,Su,-38,16,385
ART SHOW YEAR 2,Mo,-37,50,1958
ART SHOW YEAR 2,Tu,-36,17,500
ART SHOW YEAR 2,We,-35,24,473
ART SHOW YEAR 2,Th,-34,23,305
ART SHOW YEAR 2,Fr,-33,34,1523
ART SHOW YEAR 2,Sa,-32,27,401
ART SHOW YEAR 2,Su,-31,18,198
ART SHOW YEAR 2,Mo,-30,56,1188
ART SHOW YEAR 2,Tu,-29,40,857
ART SHOW YEAR 2,We,-28,44,848
ART SHOW YEAR 2,Th,-27,36,552
ART SHOW YEAR 2,Fr,-26,27,453
ART SHOW YEAR 2,Sa,-25,41,659
ART SHOW YEAR 2,Su,-24,31,601
ART SHOW YEAR 2,Mo,-23,46,1027
ART SHOW YEAR 2,Tu,-22,65,1861
ART SHOW YEAR 2,We,-21,32,1031
ART SHOW YEAR 2,Th,-20,47,569
ART SHOW YEAR 2,Fr,-19,56,925
ART SHOW YEAR 2,Sa,-18,26,860
ART SHOW YEAR 2,Su,-17,45,814
ART SHOW YEAR 2,Mo,-16,53,999
ART SHOW YEAR 2,Tu,-15,55,716
ART SHOW YEAR 2,We,-14,56,668
ART SHOW YEAR 2,Th,-13,38,1512
ART SHOW YEAR 2,Fr,-12,41,894
ART SHOW YEAR 2,Sa,-11,43,844
ART SHOW YEAR 2,Su,-10,45,1015
ART SHOW YEAR 2,Mo,-9,105,1832
ART SHOW YEAR 2,Tu,-8,129,3096
ART SHOW YEAR 2,We,-7,150,2170
ART SHOW YEAR 2,Th,-6,129,3198
ART SHOW YEAR 2,Fr,-5,113,1718
ART SHOW YEAR 2,Sa,-4,93,1805
ART SHOW YEAR 2,Su,-3,92,1168
ART SHOW YEAR 2,Mo,-2,204,3654
ART SHOW YEAR 2,Tu,-1,246,4056
ART SHOW YEAR 2,We,1,325,4096
ART SHOW YEAR 2,Th,2,366,5690
ART SHOW YEAR 2,Fr,3,703,8097
ART SHOW YEAR 3,Tu,-50,25,361
ART SHOW YEAR 3,We,-49,19,814
ART SHOW YEAR 3,Th,-48,18,217
ART SHOW YEAR 3,Fr,-47,22,320
ART SHOW YEAR 3,Sa,-46,15,181
ART SHOW YEAR 3,Su,-45,18,323
ART SHOW YEAR 3,Mo,-44,29,510
ART SHOW YEAR 3,Tu,-43,36,884
ART SHOW YEAR 3,We,-42,35,977
ART SHOW YEAR 3,Th,-41,39,632
ART SHOW YEAR 3,Fr,-40,25,408
ART SHOW YEAR 3,Sa,-39,14,699
ART SHOW YEAR 3,Su,-38,35,1535
ART SHOW YEAR 3,Mo,-37,20,404
ART SHOW YEAR 3,Tu,-36,16,352
ART SHOW YEAR 3,We,-35,34,1152
ART SHOW YEAR 3,Th,-34,8,205
ART SHOW YEAR 3,Fr,-33,66,926
ART SHOW YEAR 3,Sa,-32,42,852
ART SHOW YEAR 3,Su,-31,25,516
ART SHOW YEAR 3,Mo,-30,49,1226
ART SHOW YEAR 3,Tu,-29,30,363
ART SHOW YEAR 3,We,-28,70,961
ART SHOW YEAR 3,Th,-27,50,712
ART SHOW YEAR 3,Fr,-26,79,1575
ART SHOW YEAR 3,Sa,-25,56,1420
ART SHOW YEAR 3,Su,-24,59,1193
ART SHOW YEAR 3,Mo,-23,63,1241
ART SHOW YEAR 3,Tu,-22,48,1216
ART SHOW YEAR 3,We,-21,85,1189
ART SHOW YEAR 3,Th,-20,51,1362
ART SHOW YEAR 3,Fr,-19,58,764
ART SHOW YEAR 3,Sa,-18,82,2259
ART SHOW YEAR 3,Su,-17,71,1573
ART SHOW YEAR 3,Mo,-16,97,3256
ART SHOW YEAR 3,Tu,-15,68,1535
ART SHOW YEAR 3,We,-14,89,1664
ART SHOW YEAR 3,Th,-13,84,2011
ART SHOW YEAR 3,Fr,-12,104,2313
ART SHOW YEAR 3,Sa,-11,69,1434
ART SHOW YEAR 3,Su,-10,101,2865
ART SHOW YEAR 3,Mo,-9,108,1965
ART SHOW YEAR 3,Tu,-8,112,2576
ART SHOW YEAR 3,We,-7,141,3219
ART SHOW YEAR 3,Th,-6,93,1857
ART SHOW YEAR 3,Fr,-5,129,1872
ART SHOW YEAR 3,Sa,-4,105,1769
ART SHOW YEAR 3,Su,-3,168,3362
ART SHOW YEAR 3,Mo,-2,293,6363
ART SHOW YEAR 3,Tu,-1,277,6736
ART SHOW YEAR 3,We,1,413,8377
ART SHOW YEAR 3,Th,2,498,8681
ART SHOW YEAR 3,Fr,3,710,9520
